lex	word	POS	time	gender	case	number	verbal	adj_form	comp	person	aspect	voice	animacy	transitivity	имя	отч	фам	вводн	гео	сокр	обсц	разг	редк	устар
том	том	S		муж	вин	ед							неод											
первый	первый	ANUM		муж	вин	ед							неод											
часть	часть	S		жен	вин	ед							неод											
первый	первая	ANUM		жен	им	ед																		
ну	ну	PART																						
здравствовать	здравствуйте	V				мн	пов			2-л	несов			нп										
здравствовать	здравствуйте	V				мн	пов			2-л	несов			нп										
садиться	садитесь	V	непрош			мн	изъяв			2-л	несов			нп										
и	и	CONJ																						
рассказывать	рассказывайте	V				мн	пов			2-л	несов			пе										
так	так	ADVPRO																						
говорить	говорила	V	прош	жен		ед	изъяв				несов			пе										
в	в	PR																						
июль	июле	S		муж	пр	ед							неод											
год	года	S		муж	вин	мн							неод											
известный	известная	A		жен	им	ед		полн																
анна	анна	S		жен	им	ед							од		имя									
павловна	павловна	S		жен	им	ед							од			отч								
шерер	шерер	S		муж	им	ед							од				фам							
фрейлина	фрейлина	S		жен	им	ед							од											
и	и	CONJ																						
приближать	приближенная	V	прош	жен	им	ед	прич	полн			сов	страд		пе										
императрица	императрицы	S		жен	род	ед							од											
мария	марии	S		жен	пр	ед							од		имя									
феодоровна	феодоровны	S		жен	род	ед							од			отч								
встречать	встречая	V	непрош				деепр				несов			пе										
важный	важного	A		муж	вин	ед		полн					од											
и	и	CONJ																						
чиновный	чиновного	A		муж	вин	ед		полн					од											
князь	князя	S		муж	вин	ед							од											
василий	василия	S		муж	вин	ед							од		имя									
первый	первого	ANUM		муж	вин	ед							од											
приезжать	приехавшего	V	прош	муж	вин	ед	прич	полн			сов	действ	од	нп										
на	на	PR																						
ее	ее	APRO			пр	мн																		
вечер	вечер	S		муж	вин	ед							неод											
анна	анна	S		жен	им	ед							од		имя									
павловна	павловна	S		жен	им	ед							од			отч								
кашлять	кашляла	V	прош	жен		ед	изъяв				несов			нп										
несколько	несколько	NUM																						
день	дней	S		муж	род	мн							неод											
у	у	PR																						
она	нее	SPRO		жен	вин	ед				3-л														
быть	был	V	прош	муж		ед	изъяв				несов			нп										
грипп	грипп	S		муж	вин	ед							неод											
как	как	CONJ																						
она	она	SPRO		жен	им	ед				3-л														
говорить	говорила	V	прош	жен		ед	изъяв				несов			пе										
грипп	грипп	S		муж	вин	ед							неод											
быть	был	V	прош	муж		ед	изъяв				несов			нп										
тогда	тогда	ADVPRO																						
новый	новое	A		сред	вин	ед		полн																
слово	слово	S		сред	вин	ед							неод											
употребляться	употреблявшееся	V	прош	сред	вин	ед	прич	полн			несов	действ		нп										
только	только	PART																						
редкий	редкими	A			твор	мн		полн																
в	в	PR																						
записочка	записочках	S		жен	пр	мн							неод											
рассылать	разосланных	V	прош		пр	мн	прич	полн			сов	страд												
утро	утром	S		сред	твор	ед							неод											
с	с	PR																						
красный	красным	A			дат	мн		полн																
лакей	лакеем	S		муж	твор	ед							од											
быть	было	V	прош	сред		ед	изъяв				несов			нп										
написать	написано	V	прош	сред		ед	прич	кр			сов	страд		пе										
без	без	PR																						
различие	различия	S		сред	вин	мн							неод											
во	во	PR																						
весь	всех	APRO			пр	мн																		
отвечать	отвечал	V	прош	муж		ед	изъяв				несов			нп										
нисколько	нисколько	ADVPRO																						
не	не	PART																						
смутиться	смутясь	V	непрош				деепр				несов			нп										
такой	такою	APRO		жен	твор	ед																		
встреча	встречей	S		жен	твор	ед							неод											
входить	вошедший	V	прош	муж	вин	ед	прич	полн			сов	действ	неод	нп										
князь	князь	S		муж	им	ед							од											
в	в	PR																						
придворный	придворном	A		муж	пр	ед		полн																
шитый	шитом	A		муж	пр	ед		полн																
мундир	мундире	S		муж	пр	ед							неод											
в	в	PR																						
чулок	чулках	S		муж	пр	мн							неод											
башмак	башмаках	S		муж	пр	мн							неод											
и	и	CONJ																						
звезда	звездах	S		жен	пр	мн							неод											
с	с	PR																						
светлый	светлым	A			дат	мн		полн																
выражение	выражением	S		сред	твор	ед							неод											
плоский	плоского	A		муж	вин	ед		полн					од											
лицо	лица	S		сред	вин	мн							неод											
он	он	SPRO		муж	им	ед				3-л														
говорить	говорил	V	прош	муж		ед	изъяв				несов			пе										
на	на	PR																						
тот	том	APRO		муж	пр	ед																		
изысканный	изысканном	A		муж	пр	ед		полн																
французский	французском	A		муж	пр	ед		полн																
язык	языке	S		муж	пр	ед							неод											
на	на	PR																						
который	котором	APRO		муж	пр	ед																		
не	не	PART																						
только	только	PART																						
говорить	говорили	V	прош			мн	изъяв				несов			пе										
но	но	CONJ																						
и	и	CONJ																						
думать	думали	V	прош			мн	изъяв				несов			нп										
наш	наши	APRO			им	мн																		
дед	деды	S		муж	им	мн							од											
и	и	CONJ																						
с	с	PR																						
тот	теми	APRO			твор	мн																		
тихий	тихими	A			твор	мн		полн																
покровительственный	покровительственными	A			твор	мн		полн																
интонация	интонациями	S		жен	твор	мн							неод											
